Symbol,Name
CMPX,Compass Therapeutics Inc. Common Stock
CMRE,Costamare Inc. Common Stock $0.0001 par value
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands)
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands)
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock
CMRE^E,Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001
CMRX,Chimerix Inc. Common Stock
CMS,CMS Energy Corporation Common Stock
CMS^B,CMS Energy Corporation Preferred Stock
CMS^C,CMS Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock Series C
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079
CMT,Core Molding Technologies Inc Common Stock
CMTG,Claros Mortgage Trust Inc. Common Stock
CMTL,Comtech Telecommunications Corp. Common Stock
CMU,MFS Municipal Income Trust Common Stock
CNA,CNA Financial Corporation Common Stock
CNC,Centene Corporation Common Stock
CNCE,Concert Pharmaceuticals Inc. Common Stock
CND,Concord Acquisition Corp. Class A Common Stock
CNDA,Concord Acquisition Corp II Class A Common Stock
CNDB,Concord Acquisition Corp III Class A Common Stock
CNDT,Conduent Incorporated Common Stock 
CNET,ZW Data Action Technologies Inc. Common Stock
CNEY,CN Energy Group Inc. Ordinary Shares
CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares
CNFR,Conifer Holdings Inc. Common Stock
CNFRL,Conifer Holdings Inc. 6.75% Senior Unsecured Notes due 2023
CNGL,Canna-Global Acquisition Corp. Class A Common Stock
CNGLU,Canna-Global Acquisition Corp Unit
CNGLW,Canna-Global Acquisition Corp Warrant
CNHI,CNH Industrial N.V. Common Shares
CNI,Canadian National Railway Company Common Stock
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock
CNM,Core & Main Inc. Class A Common Stock
CNMD,CONMED Corporation Common Stock
CNNB,Cincinnati Bancorp Inc. Common Stock
CNNE,Cannae Holdings Inc. Common Stock
CNO,CNO Financial Group Inc. Common Stock
CNO^A,CNO Financial Group Inc. 5.125% Subordinated Debentures due 2060
CNOB,ConnectOne Bancorp Inc. Common Stock
CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
CNQ,Canadian Natural Resources Limited Common Stock
CNR,Cornerstone Building Brands Inc. Common Stock
CNS,Cohen & Steers Inc Common Stock
CNSL,Consolidated Communications Holdings Inc. Common Stock
CNSP,CNS Pharmaceuticals Inc. Common Stock
CNTA,Centessa Pharmaceuticals plc American Depositary Shares
CNTB,Connect Biopharma Holdings Limited American Depositary Shares
CNTG,Centogene N.V. Common Shares
CNTQ,Chardan NexTech Acquisition 2 Corp. Class A Common Stock
CNTQW,Chardan NexTech Acquisition 2 Corp. Warrant
CNTX,Context Therapeutics Inc. Common Stock
CNTY,Century Casinos Inc. Common Stock
CNVY,Convey Health Solutions Holdings Inc. Common Stock
CNX,CNX Resources Corporation Common Stock
CNXC,Concentrix Corporation Common Stock
CNXN,PC Connection Inc. Common Stock
CO,Global Cord Blood Corporation Common Stock
COCO,The Vita Coco Company Inc. Common Stock
COCP,Cocrystal Pharma Inc. Common Stock
CODA,Coda Octopus Group Inc. Common stock
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest
CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings
CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings
CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares
CODX,Co-Diagnostics Inc. Common Stock
COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares
COF,Capital One Financial Corporation Common Stock
COF^I,Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer
COF^J,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J
COF^K,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K
COF^L,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L
COF^N,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N
COFS,ChoiceOne Financial Services Inc. Common Stock
COGT,Cogent Biosciences Inc. Common Stock
COHN,Cohen & Company Inc.
COHR,Coherent Inc. Common Stock
COHU,Cohu Inc. Common Stock
COIN,Coinbase Global Inc. Class A Common Stock
COKE,Coca-Cola Consolidated Inc. Common Stock
COLB,Columbia Banking System Inc. Common Stock
COLD,Americold Realty Trust Common Shares
COLI,Colicity Inc. Class A Common Stock
COLIU,Colicity Inc. Units
COLIW,Colicity Inc. Warrant
COLL,Collegium Pharmaceutical Inc. Common Stock
COLM,Columbia Sportswear Company Common Stock
COMM,CommScope Holding Company Inc. Common Stock
COMP,Compass Inc. Class A Common Stock
COMS,ComSovereign Holding Corp. Common Stock
COMSP,ComSovereign Holding Corp. 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock
COMSW,ComSovereign Holding Corp. Warrants
CONE,CyrusOne Inc Common Stock
CONN,Conn's Inc. Common Stock
CONX,CONX Corp. Class A Common Stock
CONXU,CONX Corp. Unit
CONXW,CONX Corp. Warrant
COO,The Cooper Companies Inc. Common Stock
COOK,Traeger Inc. Common Stock
COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares
COOLU,Corner Growth Acquisition Corp. Unit
COOLW,Corner Growth Acquisition Corp. Warrant
COOP,Mr. Cooper Group Inc. Common Stock
COP,ConocoPhillips Common Stock
CORR,CorEnergy Infrastructure Trust Inc. Common Stock
CORR^A,CorEnergy Infrastructure Trust Inc. Depositary Shares each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock
CORS,Corsair Partnering Corporation Class A Ordinary Shares
CORT,Corcept Therapeutics Incorporated Common Stock
CORZ,Core Scientific Inc. Common Stock
CORZW,Core Scientific Inc. Warrant
COSM,Cosmos Holdings Inc. Common Stock
COST,Costco Wholesale Corporation Common Stock
COTY,Coty Inc. Class A Common Stock
COUP,Coupa Software Incorporated Common Stock
COUR,Coursera Inc. Common Stock
COVA,COVA Acquisition Corp. Class A Ordinary Share
COVAU,COVA Acquisition Corp. Unit
COVAW,COVA Acquisition Corp. Warrants to purchase Class A ordinary shares
COWN,Cowen Inc. Class A Common Stock
COWNL,Cowen Inc. 7.75% Senior Notes due 2033
CP,Canadian Pacific Railway Limited Common Stock
CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock
CPAA,Conyers Park III Acquisition Corp. Class A Common Stock
CPAAU,Conyers Park III Acquisition Corp. Unit
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)
CPAR,Catalyst Partners Acquisition Corp. Class A Ordinary Share
CPARU,Catalyst Partners Acquisition Corp. Unit
CPARW,Catalyst Partners Acquisition Corp. Warrant
CPB,Campbell Soup Company Common Stock
CPE,Callon Petroleum Company Common Stock
CPF,Central Pacific Financial Corp New
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CPHC,Canterbury Park Holding Corporation 'New' Common Stock
CPHI,China Pharma Holdings Inc. Common Stock
CPIX,Cumberland Pharmaceuticals Inc. Common Stock
CPK,Chesapeake Utilities Corporation Common Stock
CPLP,Capital Product Partners L.P. Common Units
CPNG,Coupang Inc. Class A Common Stock
CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares
CPRI,Capri Holdings Limited Ordinary Shares
CPRT,Copart Inc. (DE) Common Stock
CPRX,Catalyst Pharmaceuticals Inc. Common Stock
CPS,Cooper-Standard Holdings Inc. Common Stock
CPSH,CPS Technologies Corp. Common Stock
CPSI,Computer Programs and Systems Inc. Common Stock
CPSS,Consumer Portfolio Services Inc. Common Stock
CPT,Camden Property Trust Common Stock
CPTAG,Capitala Finance Corp. 5.75% Convertible Notes Due 2022
CPTAL,Capitala Finance Corp. 6% Notes Due 2022
CPTK,Crown PropTech Acquisitions Class A Ordinary Shares
CPTN,Cepton Inc. Common Stock
CPTNW,Cepton Inc. Warrant
CPUH,Compute Health Acquisition Corp. Class A Common Stock
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units
CR,Crane Co. Common Stock
CRAI,CRA International Inc. Common Stock
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock
CRBU,Caribou Biosciences Inc. Common Stock
CRC,California Resources Corporation Common Stock
CRCT,Cricut Inc. Class A Common Stock
CRD/A,Crawford & Company
CRD/B,Crawford & Company
CRDF,Cardiff Oncology Inc. Common Stock
CRDL,Cardiol Therapeutics Inc. Class A Common Shares
CRDO,Credo Technology Group Holding Ltd Ordinary Shares
CRECU,Crescera Capital Acquisition Corp Unit
CRECW,Crescera Capital Acquisition Corp Warrant
CREG,China Recycling Energy Corporation Common Stock
CRESW,Cresud S.A.C.I.F. y A. Warrant
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares
CREX,Creative Realities Inc. Common Stock
CREXW,Creative Realities Inc. Warrant
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock
CRGY,Crescent Energy Company Class A Common Stock
CRH,CRH PLC American Depositary Shares
CRHC,Cohn Robbins Holdings Corp. Class A Ordinary Shares
CRI,Carter's Inc. Common Stock
CRIS,Curis Inc. Common Stock
CRK,Comstock Resources Inc. Common Stock
CRKN,Crown Electrokinetics Corp. Common Stock
CRL,Charles River Laboratories International Inc. Common Stock
CRM,Salesforce.com Inc Common Stock
CRMD,CorMedix Inc. Common Stock
CRMT,America's Car-Mart Inc Common Stock
CRNC,Cerence Inc. Common Stock
CRNT,Ceragon Networks Ltd. Ordinary Shares
CRNX,Crinetics Pharmaceuticals Inc. Common Stock
CRON,Cronos Group Inc. Common Share
CROX,Crocs Inc. Common Stock
CRS,Carpenter Technology Corporation Common Stock
CRSP,CRISPR Therapeutics AG Common Shares
CRSR,Corsair Gaming Inc. Common Stock
CRT,Cross Timbers Royalty Trust Common Stock
CRTD,Creatd Inc. Common Stock
CRTDW,Creatd Inc. Warrant
CRTO,Criteo S.A. American Depositary Shares
CRTX,Cortexyme Inc. Common Stock
CRU,Crucible Acquisition Corporation Class A Common Stock
CRUS,Cirrus Logic Inc. Common Stock
CRVL,CorVel Corp. Common Stock
CRVS,Corvus Pharmaceuticals Inc. Common Stock
CRWD,CrowdStrike Holdings Inc. Class A Common Stock
CRWS,Crown Crafts Inc Common Stock
CRXT,Clarus Therapeutics Holdings Inc. Common Stock
CRXTW,Clarus Therapeutics Holdings Inc. Warrants
CRZN,Corazon Capital V838 Monoceros Corp Class A Ordinary Shares
CRZNU,Corazon Capital V838 Monoceros Corp Unit
CRZNW,Corazon Capital V838 Monoceros Corp Warrant
CS,Credit Suisse Group American Depositary Shares
CSAN,Cosan S.A. ADS
CSBR,Champions Oncology Inc. Common Stock
CSCO,Cisco Systems Inc. Common Stock (DE)
CSCW,Color Star Technology Co. Ltd. Ordinary Shares
CSGP,CoStar Group Inc. Common Stock
CSGS,CSG Systems International Inc. Common Stock
CSII,Cardiovascular Systems Inc. Common Stock
CSIQ,Canadian Solar Inc. Common Shares (BC)
CSL,Carlisle Companies Incorporated Common Stock
CSLM,Consilium Acquisition Corp I Ltd. Class A Ordinary Share
CSLMR,Consilium Acquisition Corp I Ltd. Right
CSLMU,Consilium Acquisition Corp I Ltd. Unit
CSLMW,Consilium Acquisition Corp I Ltd. Warrant
CSPI,CSP Inc. Common Stock
CSQ,Calamos Strategic Total Return Common Stock
CSR,D/B/A Centerspace Common Stock
CSR^C,D/B/A Centerspace 6.625% Series C 
CSSE,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock
CSSEN,Chicken Soup for the Soul Entertainment Inc. 9.50% Notes due 2025
CSSEP,Chicken Soup for the Soul Entertainment Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock
CSTA,Constellation Acquisition Corp I Class A Ordinary Shares
CSTE,Caesarstone Ltd. Ordinary Shares
CSTL,Castle Biosciences Inc. Common Stock
CSTM,Constellium SE Ordinary Shares (France)
CSTR,CapStar Financial Holdings Inc. Common Stock
CSV,Carriage Services Inc. Common Stock
CSWC,Capital Southwest Corporation Common Stock
CSWI,CSW Industrials Inc. Common Stock
CSX,CSX Corporation Common Stock
CTA^A,E.I. du Pont de Nemours and Company Preferred Stock
CTA^B,E.I. du Pont de Nemours and Company Preferred Stock
CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock
CTAQU,Carney Technology Acquisition Corp. II Units
CTAQW,Carney Technology Acquisition Corp. II Warrant
CTAS,Cintas Corporation Common Stock
CTBB,Qwest Corporation 6.5% Notes due 2056
CTBI,Community Trust Bancorp Inc. Common Stock
CTDD,Qwest Corporation 6.75% Notes due 2057
CTEK,CynergisTek Inc. Common Stock
CTG,Computer Task Group Inc. Common Stock
CTGO,Contango ORE Inc. Common Stock
CTHR,Charles & Colvard Ltd Common Stock
CTIB,Yunhong CTI Ltd. Common Stock
CTIC,CTI BioPharma Corp. (DE) Common Stock
CTK,CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares
CTKB,Cytek Biosciences Inc. Common Stock
CTLP,Cantaloupe Inc. Common Stock
CTLT,Catalent Inc. Common Stock
CTMX,CytomX Therapeutics Inc. Common Stock
CTO,CTO Realty Growth Inc. Common Stock
CTO^A,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock
CTOS,Custom Truck One Source Inc. Common Stock
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock
CTRA,Coterra Energy Inc. Common Stock
CTRE,CareTrust REIT Inc. Common Stock
CTRM,Castor Maritime Inc. Common Shares
CTRN,Citi Trends Inc. Common Stock
CTS,CTS Corporation Common Stock
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
CTSO,Cytosorbents Corporation Common Stock
CTT,CatchMark Timber Trust Inc. Class A Common Stock
CTV,Innovid Corp. Common Stock
CTVA,Corteva Inc. Common Stock 
CTXR,Citius Pharmaceuticals Inc. Common Stock
CTXS,Citrix Systems Inc. Common Stock
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034
CUBE,CubeSmart Common Shares
CUBI,Customers Bancorp Inc Common Stock
CUBI^E,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E
CUBI^F,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F
CUE,Cue Biopharma Inc. Common Stock
CUEN,Cuentas Inc. Common Stock
CUENW,Cuentas Inc. Warrant
CUK,Carnival Plc ADS ADS
CULL,Cullman Bancorp Inc. Common Stock
CULP,Culp Inc. Common Stock
CURI,CuriosityStream Inc. Class A Common Stock
CURIW,CuriosityStream Inc. Warrant
CURO,CURO Group Holdings Corp. Common Stock
CURV,Torrid Holdings Inc. Common Stock
CUTR,Cutera Inc. Common Stock
CUZ,Cousins Properties Incorporated Common Stock
CVAC,CureVac N.V. Ordinary Shares
CVBF,CVB Financial Corporation Common Stock
CVCO,Cavco Industries Inc. Common Stock When Issued
CVCY,Central Valley Community Bancorp Common Stock
CVE,Cenovus Energy Inc Common Stock
CVEO,Civeo Corporation (Canada) Common Shares
CVET,Covetrus Inc. Common Stock
CVGI,Commercial Vehicle Group Inc. Common Stock
CVGW,Calavo Growers Inc. Common Stock
CVI,CVR Energy Inc. Common Stock
CVII,Churchill Capital Corp VII Class A Common Stock
CVLG,Covenant Logistics Group Inc. Class A Common Stock
CVLT,Commvault Systems Inc. Common Stock
CVLY,Codorus Valley Bancorp Inc Common Stock
CVM,Cel-Sci Corporation Common Stock
CVNA,Carvana Co. Class A Common Stock
CVR,Chicago Rivet & Machine Co. Common Stock
CVRX,CVRx Inc. Common Stock
CVS,CVS Health Corporation Common Stock
CVT,Cvent Holding Corp. Common Stock
CVU,CPI Aerostructures Inc. Common Stock
CVV,CVD Equipment Corporation Common Stock
CVX,Chevron Corporation Common Stock
CW,Curtiss-Wright Corporation Common Stock
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock
CWBC,Community West Bancshares Common Stock
CWBR,CohBar Inc. Common Stock
CWCO,Consolidated Water Co. Ltd. Ordinary Shares
CWEN,Clearway Energy Inc. Class C Common Stock
CWH,Camping World Holdings Inc. Class A Commom Stock
CWK,Cushman & Wakefield plc Ordinary Shares
CWST,Casella Waste Systems Inc. Class A Common Stock
CWT,California Water Service Group Common Stock
CX,Cemex S.A.B. de C.V. Sponsored ADR
CXAC,C5 Acquisition Corporation Class A Common Stock
CXDO,Crexendo Inc. Common Stock
CXE,MFS High Income Municipal Trust Common Stock
CXH,MFS Investment Grade Municipal Trust Common Stock
CXM,Sprinklr Inc. Class A Common Stock
CXW,CoreCivic Inc. Common Stock
CYAD,Celyad Oncology SA American Depositary Shares
CYAN,Cyanotech Corporation Common Stock
CYBE,CyberOptics Corporation Common Stock
CYBN,Cybin Inc. Common Shares
CYBR,CyberArk Software Ltd. Ordinary Shares
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock
CYCN,Cyclerion Therapeutics Inc. Common Stock
CYD,China Yuchai International Limited Common Stock
CYH,Community Health Systems Inc. Common Stock
CYN,Cyngn Inc. Common Stock
CYRN,CYREN Ltd. Ordinary Shares
CYRX,CryoPort Inc. Common Stock
CYT,Cyteir Therapeutics Inc. Common Stock
CYTH,Cyclo Therapeutics Inc. Common Stock
CYTK,Cytokinetics Incorporated Common Stock
CYTO,Altamira Therapeutics Ltd. Common Shares 0.01 SF (Bermuda)
CYXT,Cyxtera Technologies Inc. Class A Common Stock
CZNC,Citizens & Northern Corp Common Stock
CZOO,Cazoo Group Ltd Class A Ordinary Shares
CZR,Caesars Entertainment Inc. Common Stock
CZWI,Citizens Community Bancorp Inc. Common Stock
D,Dominion Energy Inc. Common Stock
DAC,Danaos Corporation Common Stock
DADA,Dada Nexus Limited American Depositary Shares
DAIO,Data I/O Corporation Common Stock
DAKT,Daktronics Inc. Common Stock
DAL,Delta Air Lines Inc. Common Stock
DALN,DallasNews Corporation Series A Common Stock
DALS,DA32 Life Science Tech Acquisition Corp. Class A Common Stock
DAN,Dana Incorporated Common Stock 
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share
DAOO,Crypto 1 Acquisition Corp Class A Ordinary Shares
DAOOU,Crypto 1 Acquisition Corp Unit
DAOOW,Crypto 1 Acquisition Corp Warrants
DAR,Darling Ingredients Inc. Common Stock
DARE,Dare Bioscience Inc. Common Stock
DASH,DoorDash Inc. Class A Common Stock
DATS,DatChat Inc. Common Stock
DATSW,DatChat Inc. Series A Warrant
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share)
DAVE,Dave Inc. Class A Common Stock
DAVEW,Dave Inc. Warrants
DAWN,Day One Biopharmaceuticals Inc. Common Stock
DB,Deutsche Bank AG Common Stock
DBD,Diebold Nixdorf Incorporated Common Stock
DBGI,Digital Brands Group Inc. Common Stock
DBGIW,Digital Brands Group Inc. Warrant
DBI,Designer Brands Inc. Class A Common Stock
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest
DBRG,DigitalBridge Group Inc.
DBRG^H,DigitalBridge Group Inc. 7.125% Series H 
DBRG^I,DigitalBridge Group Inc. 7.15% Series I 
DBRG^J,DigitalBridge Group Inc. 7.125% Series J 
DBTX,Decibel Therapeutics Inc. Common Stock
DBVT,DBV Technologies S.A. American Depositary Shares
DBX,Dropbox Inc. Class A Common Stock
DCBO,Docebo Inc. Common Shares
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock
DCFC,Tritium DCFC Limited Ordinary Shares
DCFCW,Tritium DCFC Limited Warrant
DCGO,DocGo Inc. Common Stock
DCGOW,DocGo Inc. Warrants
DCI,Donaldson Company Inc. Common Stock
DCO,Ducommun Incorporated Common Stock
DCOM,Dime Community Bancshares Inc. Common Stock
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A
DCP,DCP Midstream  LP Common Units 
DCP^B,DCP Midstream LP 7.875% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
DCP^C,DCP Midstream LP 7.95% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
DCPH,Deciphera Pharmaceuticals Inc. Common Stock
DCRD,Decarbonization Plus Acquisition Corporation IV Class A Ordinary Share
DCRDW,Decarbonization Plus Acquisition Corporation IV Warrant
DCT,Duck Creek Technologies Inc. Common Stock
DCTH,Delcath Systems Inc. Common Stock
DCUE,Dominion Energy Inc. 2019 Series A Corporate Units
DD,DuPont de Nemours Inc. Common Stock
DDD,3D Systems Corporation Common Stock
DDF,Delaware Investments Dividend & Income Fund Inc. Common Stock
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DDOG,Datadog Inc. Class A Common Stock
DDS,Dillard's Inc. Common Stock
DDT,Dillard's Capital Trust I
DE,Deere & Company Common Stock
DEA,Easterly Government Properties Inc. Common Stock
DECK,Deckers Outdoor Corporation Common Stock
DEI,Douglas Emmett Inc. Common Stock
DELL,Dell Technologies Inc. Class C Common Stock 
DEN,Denbury Inc. Common Stock
DENN,Denny's Corporation Common Stock
DEO,Diageo plc Common Stock
DERM,Journey Medical Corporation Common Stock
DESP,Despegar.com Corp. Ordinary Shares
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest
DFFN,Diffusion Pharmaceuticals Inc. Common Stock
DFH,Dream Finders Homes Inc. Class A Common Stock
DFIN,Donnelley Financial Solutions Inc. Common Stock 
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock
DFS,Discover Financial Services Common Stock
DG,Dollar General Corporation Common Stock
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares
DGICA,Donegal Group Inc. Class A Common Stock
DGICB,Donegal Group Inc. Class B Common Stock
DGII,Digi International Inc. Common Stock
DGLY,Digital Ally Inc. Common Stock
DGNU,Dragoneer Growth Opportunities Corp. III Class A Ordinary Shares
DGX,Quest Diagnostics Incorporated Common Stock
DH,Definitive Healthcare Corp. Class A Common Stock
DHAC,Digital Health Acquisition Corp. Common Stock
DHACU,Digital Health Acquisition Corp. Unit
DHACW,Digital Health Acquisition Corp. Warrant
DHBC,DHB Capital Corp. Class A common stock
DHBCW,DHB Capital Corp. Warrant
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest
DHCA,DHC Acquisition Corp. Class A ordinary share
DHCAU,DHC Acquisition Corp. Unit
DHCAW,DHC Acquisition Corp. Warrant
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046
DHF,BNY Mellon High Yield Strategies Fund Common Stock
DHHC,DiamondHead Holdings Corp. Class A Common Stock
DHHCU,DiamondHead Holdings Corp. Unit
DHHCW,DiamondHead Holdings Corp. Warrant
DHI,D.R. Horton Inc. Common Stock
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock
DHR,Danaher Corporation Common Stock
DHR^A,Danaher Corporation 4.75% Mandatory Convertible Preferred Stock Series A
DHR^B,Danaher Corporation 5.00% Mandatory Convertible Preferred Stock Series B
DHT,DHT Holdings Inc.
DHX,DHI Group Inc. Common Stock
DHY,Credit Suisse High Yield Bond Fund Common Stock
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest
DIBS,1stdibs.com Inc. Common Stock
DICE,DICE Therapeutics Inc. Common Stock
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share)
DILAW,DILA Capital Acquisition Corp. Warrant
DIN,Dine Brands Global Inc. Common Stock
DIOD,Diodes Incorporated Common Stock
DIS,Walt Disney Company (The) Common Stock
DISA,Disruptive Acquisition Corporation I Class A Ordinary Shares
DISAU,Disruptive Acquisition Corporation I Unit
DISAW,Disruptive Acquisition Corporation I Warrant
DISCA,Discovery Inc. Series A Common Stock
DISCB,Discovery Inc. Series B Common Stock
DISCK,Discovery Inc. Series C Common Stock
DISH,DISH Network Corporation Class A Common Stock
DIT,AMCON Distributing Company Common Stock
DJCO,Daily Journal Corp. (S.C.) Common Stock
DK,Delek US Holdings Inc. Common Stock
DKDCA,Data Knights Acquisition Corp. Class A Common Stock
DKDCW,Data Knights Acquisition Corp. Warrant
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests
DKNG,DraftKings Inc. Class A Common Stock
DKS,Dick's Sporting Goods Inc Common Stock
DLA,Delta Apparel Inc. Common Stock
DLB,Dolby Laboratories Common Stock
DLCA,Deep Lake Capital Acquisition Corp. Class A Ordinary Shares
DLCAU,Deep Lake Capital Acquisition Corp. Unit
DLCAW,Deep Lake Capital Acquisition Corp. Warrant
DLHC,DLH Holdings Corp.
DLNG,Dynagas LNG Partners LP Common Units
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni
DLO,DLocal Limited Class A Common Shares
DLPN,Dolphin Entertainment Inc. Common Stock
DLR,Digital Realty Trust Inc. Common Stock
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock
DLTH,Duluth Holdings Inc. Class B Common Stock
DLTR,Dollar Tree Inc. Common Stock
DLX,Deluxe Corporation Common Stock
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest
DM,Desktop Metal Inc. Class A Common Stock
DMA,Destra Multi-Alternative Fund Common Stock
DMAC,DiaMedica Therapeutics Inc. Common Stock
DMAQ,Deep Medicine Acquisition Corp. Class A Common Stock
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock
DMF,BNY Mellon Municipal Income Inc. Common Stock
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock
DMRC,Digimarc Corporation Common Stock
DMS,Digital Media Solutions Inc. Class A Ordinary Shares
DMTK,DermTech Inc. Common Stock
DMYS,dMY Technology Group Inc. VI Class A Common Stock
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock
DNAA,Social Capital Suvretta Holdings Corp. I Class A Ordinary Share
DNAB,Social Capital Suvretta Holdings Corp. II Class A Ordinary Shares
DNAC,Social Capital Suvretta Holdings Corp. III Class A ordinary shares
DNAD,Social Capital Suvretta Holdings Corp. IV Class A Ordinary Shares
DNAY,Codex DNA Inc. Common Stock
DNB,Dun & Bradstreet Holdings Inc. Common Stock
DNLI,Denali Therapeutics Inc. Common Stock
DNMR,Danimer Scientific Inc. Common Stock
